name,createdBy,lastModifiedBy,enabled
Taro Root,,,true
Wine - Fume Blanc Fetzer,,,false
Sauce - Thousand Island,,,false
Sugar - Brown,,,true
Amarula Cream,,,false
Flour - Rye,,,true
Pastry - French Mini Assorted,,,false
Tea - Honey Green Tea,,,false
"Crab - Back Fin Meat, Canned",,,false
Cookie Dough - Chocolate Chip,,,true
Bulgar,,,true
"Champagne - Brights, Dry",,,true
Mushroom - Crimini,,,false
Sauce - Thousand Island,,,false
Wakami Seaweed,,,false
"Squash - Pattypan, Yellow",,,false
Longos - Cheese Tortellini,,,true
Longos - Assorted Sandwich,,,true
True - Vue Containers,,,true
Pear - Halves,,,false
Spring Roll Wrappers,,,true
"Coke - Classic, 355 Ml",,,true
Muffin Mix - Blueberry,,,true
Bread - Bistro White,,,false
Chicken Giblets,,,true
Pepper - Red Bell,,,false
Anchovy Fillets,,,true
Smoked Paprika,,,false
Dip - Tapenade,,,false
Bread - Pumpernickel,,,false
Fond - Neutral,,,true
Muffin - Banana Nut Individual,,,false
External Supplier,,,true
Cardamon Seed / Pod,,,true
Table Cloth 120 Round White,,,true
Butcher Twine 4r,,,false
Food Colouring - Orange,,,true
Uniform Linen Charge,,,false
Honey - Lavender,,,true
Munchies Honey Sweet Trail Mix,,,false
Wine - Pinot Grigio Collavini,,,false
Wine - Penfolds Koonuga Hill,,,false
Goat - Whole Cut,,,true
Wine - Two Oceans Cabernet,,,false
"Soup - Campbells, Chix Gumbo",,,true
"Juice - Apple, 500 Ml",,,true
"Flour - Bran, Red",,,true
Cheese - Cottage Cheese,,,true
Kellogs Raisan Bran Bars,,,false
Chips - Miss Vickies,,,false
Sobe - Berry Energy,,,false
Chocolate - Semi Sweet,,,false
Venison - Ground,,,true
Spinach - Packaged,,,true
Toothpick Frilled,,,true
Bagel - Sesame Seed Presliced,,,true
Flour - Whole Wheat,,,false
Glycerine,,,false
Versatainer Nc - 9388,,,true
Madeira,,,false
Long Island Ice Tea,,,false
Grouper - Fresh,,,false
"Veal - Brisket, Provimi, Bone - In",,,false
Wine - Beaujolais Villages,,,false
"Mushroom - Trumpet, Dry",,,true
Oil - Sesame,,,true
"Quail - Whole, Bone - In",,,true
"Pork - Tenderloin, Fresh",,,true
Lettuce - Curly Endive,,,true
Bread - Crusty Italian Poly,,,true
"Juice - Cranberry, 341 Ml",,,false
Squid Ink,,,true
Potatoes - Mini White 3 Oz,,,false
Yogurt - French Vanilla,,,false
Chocolate - Sugar Free Semi Choc,,,true
Coffee - Egg Nog Capuccino,,,false
Onion Powder,,,true
Ice Cream - Fudge Bars,,,false
Pastry - Carrot Muffin - Mini,,,true
Vinegar - Balsamic,,,false
Bread Sour Rolls,,,false
"Nut - Chestnuts, Whole",,,true
"Beans - Black Bean, Dry",,,true
Flour - Masa De Harina Mexican,,,false
"Fish - Soup Base, Bouillon",,,true
Soap - Mr.clean Floor Soap,,,false
Carrots - Mini Red Organic,,,true
Napkin White - Starched,,,true
Table Cloth 53x69 White,,,false
Cheese - Comtomme,,,false
Chocolate - Chips Compound,,,false
"Napkin - Dinner, White",,,true
Breadfruit,,,true
"Cherries - Bing, Canned",,,false
"Pasta - Shells, Medium, Dry",,,false
Cape Capensis - Fillet,,,true
Nut - Pumpkin Seeds,,,false
Soup Campbells,,,false
Bar - Sweet And Salty Chocolate,,,true
Garam Marsala,,,false
Shrimp - 31/40,,,true
Broom - Angled,,,false
"Rum - Light, Captain Morgan",,,false
Tuna - Sushi Grade,,,true
