name,size,price,type,ingredients,createdBy,lastModifiedBy,date,time
Mazdaspeed6,XS,$40687.49,,,,,,
CLK-Class,L,$44012.98,,,,,,
Integra,XL,$39963.89,,,,,,
Pathfinder,2XL,$14094.31,,,,,,
200,XS,$702.18,,,,,,
GT,M,$29600.32,,,,,,
900,2XL,$6731.90,,,,,,
Stratus,L,$44782.78,,,,,,
Starion,3XL,$48143.03,,,,,,
Firebird,2XL,$1531.92,,,,,,
Discovery,L,$949.97,,,,,,
Prowler,2XL,$7654.45,,,,,,
TrailBlazer,XS,$21172.00,,,,,,
CX,M,$5947.54,,,,,,
Grand Cherokee,S,$16972.47,,,,,,
Savana,S,$14699.51,,,,,,
Prelude,XS,$3444.58,,,,,,
SLK-Class,S,$3393.43,,,,,,
LeSabre,S,$41265.19,,,,,,
Liberty,L,$42966.19,,,,,,
Continental,XL,$8154.79,,,,,,
Odyssey,XL,$32594.15,,,,,,
2500,2XL,$32716.64,,,,,,
MINI,3XL,$8491.20,,,,,,
Cherokee,3XL,$37572.15,,,,,,
Dakota,2XL,$14123.34,,,,,,
Enclave,S,$6381.05,,,,,,
Forester,S,$19654.30,,,,,,
Econoline E150,3XL,$25958.14,,,,,,
Bonneville,XL,$7401.90,,,,,,
Q7,XL,$14929.93,,,,,,
IS,S,$28346.57,,,,,,
Tribute,3XL,$11103.22,,,,,,
Grand Prix,2XL,$30941.26,,,,,,
F-Series,M,$22495.80,,,,,,
Contour,2XL,$21025.84,,,,,,
Veracruz,M,$1630.55,,,,,,
Spectra,3XL,$2577.37,,,,,,
Mustang,S,$4137.88,,,,,,
Camaro,M,$16642.76,,,,,,
Summit,L,$4104.89,,,,,,
4Runner,XL,$13257.04,,,,,,
MKT,XS,$479.87,,,,,,
Mustang,L,$23585.32,,,,,,
Sportage,L,$38968.54,,,,,,
TT,M,$22348.71,,,,,,
CR-V,XS,$2375.47,,,,,,
Rainier,M,$27661.56,,,,,,
Festiva,S,$34195.40,,,,,,
Titan,2XL,$37075.21,,,,,,
3000GT,XS,$19992.41,,,,,,
Odyssey,3XL,$42579.61,,,,,,
Cherokee,L,$11706.73,,,,,,
9-5,M,$31970.70,,,,,,
Ion,XS,$29134.05,,,,,,
C-Class,2XL,$34694.72,,,,,,
Intrepid,L,$32629.45,,,,,,
Suburban 2500,M,$39461.64,,,,,,
Mazda6 5-Door,S,$33184.65,,,,,,
Hombre,3XL,$358.85,,,,,,
Accord,2XL,$34195.71,,,,,,
Coachbuilder,3XL,$30491.78,,,,,,
Contour,XL,$23967.29,,,,,,
Daewoo Lacetti,2XL,$24999.94,,,,,,
MR2,2XL,$17362.96,,,,,,
J,XS,$39165.49,,,,,,
Santa Fe,XL,$48922.25,,,,,,
Suburban 2500,S,$33304.99,,,,,,
Caravan,3XL,$35438.52,,,,,,
Mirage,2XL,$32319.72,,,,,,
Borrego,M,$5342.25,,,,,,
Expedition,XS,$12636.13,,,,,,
Estate,XL,$3448.05,,,,,,
S8,XL,$14154.17,,,,,,
S2000,2XL,$9360.17,,,,,,
Spider,XL,$13934.64,,,,,,
Grand Cherokee,M,$27819.28,,,,,,
Quest,2XL,$37988.72,,,,,,
Falcon,L,$13404.91,,,,,,
Justy,XL,$44356.09,,,,,,
Stratus,3XL,$39508.81,,,,,,
Freestyle,XS,$9849.05,,,,,,
Ram Wagon B150,L,$30434.42,,,,,,
Aspire,2XL,$38227.21,,,,,,
Century,S,$41638.71,,,,,,
Express 2500,XL,$12552.93,,,,,,
Celica,3XL,$13612.36,,,,,,
Tundra,XS,$21744.42,,,,,,
612 Scaglietti,XL,$28156.17,,,,,,
200SX,S,$15644.55,,,,,,
Grand Caravan,S,$22907.35,,,,,,
Murciélago,XL,$21973.24,,,,,,
Suburban 2500,XL,$37408.71,,,,,,
Electra,S,$28265.27,,,,,,
Caprice,S,$23169.58,,,,,,
GS,XS,$7425.06,,,,,,
Aurora,S,$36719.20,,,,,,
Town Car,M,$11875.51,,,,,,
Diamante,XL,$31188.37,,,,,,
Viper,L,$4443.37,,,,,,
DeVille,XS,$45160.76,,,,,,
Land Cruiser,XL,$18885.56,,,,,,
Prelude,XL,$47177.06,,,,,,
RX,S,$24917.91,,,,,,
Skylark,3XL,$38934.34,,,,,,
Countach,S,$27619.07,,,,,,
